Site,Date_Asat,Date_Rd,Species,Code,Fixer,Nonfixer,Meas,Treatment,Rep,T30_air,Tair,Tleaf,Tleaf_cor,A_area,A_mass,Rd_area,Rd_mass,E,g,WUE (A/g),%N_mass,gN_m-2,LMA,d13C,Leaf_bio_g_end,AGB_est_kg_harv,NLIM,NSAT,NLIM_Alt1,NLSAT_Alt1,NLIM_Alt2,NSAT_Alt2,WL/DIS/DAM,Use_biomass_end
W,7/17/2019,NA,CAEQ,CAEQ,1,0,1,MN,6,23.4,26.54666667,28.15333333,28.60343867,11.16430724,57.28223313,NA,NA,0.00421,0.270819468,41.22416791,1.56,3.05,194.9,-29.52,524.76509,1.86515025,0,1,0,1,0,1,0,1
W,7/17/2019,NA,CAEQ,CAEQ,1,0,1,MN,7,23.4,26.86,28.41666667,28.827582,22.11219761,83.79006295,NA,NA,0.00505,0.334176577,66.16920256,1.77,4.68,263.9,-30.45,4072.525531,15.28743807,0,1,0,1,0,1,0,1
W,7/17/2019,NA,CAEQ,CAEQ,1,0,1,MN,8,23.4,26.95,28.56333333,29.018664,16.91015749,66.57542319,NA,NA,0.00434,0.293029331,57.70807117,1.44,3.66,254,-30.76,1042.547365,3.693128149,0,1,0,1,0,1,1,1
W,7/20/2019,NA,CAEQ,CAEQ,1,0,1,MN,9,23.4,26.88,28.98,29.81678,9.57736929,46.11155171,NA,NA,0.00304,0.136992687,69.91153686,1.58,3.29,207.7,-31.54,3373.314114,13.81410325,0,1,0,1,0,1,0,0
W,7/17/2019,NA,CAEQ,CAEQ,1,0,1,NP,1,23.4,25.04666667,26.67333333,27.13911467,14.92519197,58.92298449,NA,NA,0.00191,0.137819951,108.2948575,1.93,4.89,253.3,-29.19,815.644121,2.849197081,0,1,0,1,0,1,0,1
W,7/16/2019,NA,CAEQ,CAEQ,1,0,1,NP,2,23.4,26.90666667,30.53666667,32.57266067,15.48022883,57.22820269,NA,NA,0.00373,0.145268795,106.5626573,1.78,4.81,270.5,-30.71,2166.606382,7.302902456,0,1,0,1,0,1,0,0
W,7/16/2019,NA,CAEQ,CAEQ,1,0,1,NP,3,23.4,26.85333333,30.13,31.88905133,18.19639792,45.904132,NA,NA,0.00489,0.199230958,91.33318477,1.42,5.64,396.4,-28.43,1294.12482,4.704556864,0,1,0,1,0,1,0,1
W,7/16/2019,NA,CAEQ,CAEQ,1,0,1,NP,4,23.4,26.41666667,29.29333333,30.73886467,12.12077334,48.81503559,NA,NA,0.00316,0.165979312,73.02580795,2.39,5.94,248.3,-30.18,959.330823,3.844857882,0,1,0,1,0,1,0,1
W,7/17/2019,NA,CAEQ,CAEQ,1,0,1,NP,5,23.4,25.95,26.41,25.961348,15.50242203,49.46529046,NA,NA,0.00306,0.299337787,51.78905803,1.55,4.85,313.4,-30.56,2121.492375,7.133879291,0,1,0,1,0,1,0,1
W,7/17/2019,NA,CAEQ,CAEQ,1,0,1,NP,6,23.4,26.11,27.15333333,27.161898,23.42844663,94.35540326,NA,NA,0.0051,0.338133369,69.28759121,2.02,5.01,248.3,-29.39,3549.894539,13.48635099,0,1,0,1,0,1,0,1
